risk_type,latitude,longitude,integrated_score,integrated_level,summary,ground_risk_score,flood_risk_score,elevation_m,relative_depression_m,terrain_evidence_count,insar_displacement_abs,optical_component,surface_component,insar_component,detail
저지대 침수,35.865543407034444,127.09001541137695,68.25104009640621,매우 높음,"고도 10.0m, 주변 평균보다 5.2m 낮음, 국지 고도차 4.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,68.25104009640621,10.0,5.225306510925293,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.888911007141054,127.05842971801758,67.93685686729714,높음,"고도 7.0m, 주변 평균보다 2.4m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,67.93685686729714,7.0,2.40571403503418,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.888911007141054,127.1092414855957,67.54875637333863,높음,"고도 14.0m, 주변 평균보다 2.9m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,67.54875637333863,14.0,2.905305862426758,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.88112257300586,127.06804275512695,66.94354360659125,높음,"고도 7.0m, 주변 평균보다 3.9m 낮음, 국지 고도차 5.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,66.94354360659125,7.0,3.8821325302124015,3,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.8031961172245,127.16691970825192,91.85780428365037,높음,"고도 54.0m, 주변 평균보다 69.9m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,91.85780428365037,54.0,69.90587615966797,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.7876016410509,127.19575881958006,91.11853819586167,높음,"고도 71.0m, 주변 평균보다 49.8m 낮음, 국지 고도차 3.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,91.11853819586167,71.0,49.77842712402344,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.81878753246268,127.19575881958006,87.12147946123956,높음,"고도 99.0m, 주변 평균보다 70.5m 낮음, 국지 고도차 4.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,87.12147946123956,99.0,70.53561401367188,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.79539926171999,127.19575881958006,82.50709887133367,높음,"고도 69.0m, 주변 평균보다 37.4m 낮음, 국지 고도차 4.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,82.50709887133367,69.0,37.412330627441406,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.772004104496354,127.08726882934567,80.72061628892484,높음,"고도 52.0m, 주변 평균보다 29.7m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,80.72061628892484,52.0,29.65752410888672,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.82658209205795,127.17653274536131,80.50631052030215,높음,"고도 68.0m, 주변 평균보다 32.2m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,80.50631052030215,68.0,32.228240966796875,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.75640350811643,127.08726882934567,80.24071442855667,높음,"고도 116.0m, 주변 평균보다 43.5m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,80.24071442855667,116.0,43.48533630371094,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.7642041887498,127.08726882934567,80.1020199870304,높음,"고도 77.0m, 주변 평균보다 34.2m 낮음, 국지 고도차 3.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,80.1020199870304,77.0,34.237884521484375,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.83437588621187,127.1861457824707,79.14018776583232,높음,"고도 72.0m, 주변 평균보다 35.8m 낮음, 국지 고도차 7.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,79.14018776583232,72.0,35.84922790527344,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.81099220749514,127.15730667114256,78.3846909335451,높음,"고도 44.0m, 주변 평균보다 24.7m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,78.3846909335451,44.0,24.685134887695312,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.81878753246268,127.08726882934567,76.17229725575417,높음,"고도 40.0m, 주변 평균보다 23.6m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,76.17229725575417,40.0,23.59821319580078,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.772004104496354,127.12846755981444,75.28174315358417,높음,"고도 46.0m, 주변 평균보다 20.4m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,75.28174315358417,46.0,20.364013671875,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.79539926171999,127.09001541137695,74.85767011357761,높음,"고도 41.0m, 주변 평균보다 19.8m 낮음, 국지 고도차 3.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,74.85767011357761,41.0,19.81142807006836,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.8031961172245,127.1476936340332,74.41940249433429,높음,"고도 61.0m, 주변 평균보다 24.8m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,74.41940249433429,61.0,24.75135040283203,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
저지대 침수,35.83437588621187,127.09962844848631,73.47784926736037,높음,"고도 33.0m, 주변 평균보다 16.3m 낮음, 국지 고도차 3.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다.",0.0,73.47784926736037,33.0,16.281967163085938,2,0.0,0.0,0.0,0.0,DEM 기반 후보이며 배수시설·하천 수위·불투수면 자료는 아직 미반영입니다.
